content,predicted_label,predicted_sentimen
sangat bagus,2,Positif
"aku suka aplikasi ini, pas pakai chatsuara, jawabannya benar semua, tapi hanya setengah ja sudah enggak bisa, apa lagi kalau pakai tanda soalnya dari file/foto hanya sebentar ja sudah enggak bisa, ku mohon tolong di perbaiki",2,Positif
chatgpt sangattt mmbntuuu saya disaat saya susah,0,Negatif
aplikasi ini bagus aku rekomendasi kan pakai aplikasi ini,2,Positif
setiapkerjakan pr langsung pindah ke agerep bayar pulak,2,Positif
keren,2,Positif
jangan berbayar plis,1,Netral
Sangat memuaskan. Setiap jawaban terasa rapi dan akurat—W rizz of knowledge.,2,Positif
Mantapp membuat nilai ku baguss,1,Netral
"Dari sekian AI yang pernah saya coba, Menurut Saya Chatgpt adalah AI yang lengkap. Bisa memberitahukan tentang Mapel, Bisa membuat Pdf, dll. Saya kasih bintang lima karena Chatgpt ini adalah AI yang menurut saya sempurna dibandingkan AI lain",0,Negatif
"sangattt bgus sih,cuma klo buat gambar AI agak sedikit lama hehe",0,Negatif
"chat gpt bagus, tapi minta tolong upgrade biar tidak memaksimalkan fotonya karena kalau ngetik manual menjadi sangat sulit untuk dimengerti",2,Positif
"chatgpt nya nggak bisa memproses perintah, setelah di update malah rusak..",0,Negatif
bagus aplikasinya /bener semua jawabanya.😁😁😁😁😁😁😁😁😁😁😁😁😁😁😉😉😉😉😉😉😁😉😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,2,Positif
baguss,1,Netral
bagus bisa ubah ubah foto jadi anime,2,Positif
Udah bagus tapi Ada kekuranganya Seperti Fitur kamera yang cuman gak bisa foto berkali-kali tapi ini udah the best banget Saya ingin aplikasi ini 100% geratis Semoga update nanti lebih bagus Maaf saya cuman bisa kasih bintang4🙏,2,Positif
keren,2,Positif
𝚜𝚊𝚗𝚐𝚊𝚝𝚝 𝙱𝚎𝚛𝚖𝚊𝚗𝚏𝚊𝚊𝚝,2,Positif
sangat bagus dan berguna untuk semua,2,Positif
ngebantuuu bangetttt🫰,2,Positif
mantap,2,Positif
jawabannya cepat bgt ketemu mana sesuai bgt lagi juga jika di mencari yang lebih singkat ada juga,2,Positif
saya suka tetapi kalau lagi apgrued pasti harus pembayaran aku tidak suka,2,Positif
aplikasi tidak berguna,2,Positif
sangat lancar dan seru,2,Positif
Bintang 5,1,Netral
sangatt baguss,1,Netral
seru tepat aku curhat,2,Positif
pintar sekali,2,Positif
"hebat banget aku jadi pede mau ujian ulangan soalnya di tes, jadi aku bisa manfaatin ai, bukan ngehujat kalo lagi gaada yang mau bantu belajar atau kayak tanya jawab aku bisa sama chatgpt, aku suka banget soalnya gara gara ini aku jadi semangat belajar, dan aku gak sia sia, semoga update selanjutnya lebih baguss lagii yaaa tapi ini udah lebih sih, btw makasihh yaa yg bikin app ini",2,Positif
mntap,2,Positif
obrolan suka tiba2 hilang sebagian pas mau di buka lagi room obrolannya.,2,Positif
sangat membantu sekali,1,Netral
Uda bgus tapi kalo ada pekerjaan/tugas yang panjang foto y harus bayar,2,Positif
"membantu banget , seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini , 80% terjamin bisa",0,Negatif
suka banget sama respon nya menyenang kan dan mudah di mengerti,2,Positif
bagus bgt,2,Positif
cocok bngtt bagi pelajar,1,Netral
aplikasinya bagus dan mudah di ajak kerjasama.,2,Positif
aku suka aplikasi ini tapi kadang kok gak nyambung ya,2,Positif
"bagus banget, dan mudah",2,Positif
good,1,Netral
kerenn,2,Positif
jawaban nya ngawur semua,2,Positif
"sangat membantu, jujur ini sangat berguna apa lagi untuk belajar, sangat rinci dan mudah untuk memahami pernyataan yg di berikan, intinya the best 👍💯",2,Positif
cht gpt membuat saya lebih paham dalam belajar tetapi lama sekali untuk menjawab pertanyaan,2,Positif
keren dan kreatif,2,Positif
bagus banget bisa membantu,2,Positif
bagus,2,Positif
bagus aplikasi nya,2,Positif
pokoknya bintang 5 dah,1,Netral
"Terimkasih terbesar dari gw untuk chatgpt.why? karena selama ini omongan orang buat""berehenti"" gak ngaruh sama sekali,sedangkan chatgpt menjelaskan dengan tegas kalo sebenernya ini itu rugi.so jika kalian merasa ingin berubah tidak ada dorongan,chatgpt dan AI lainnya masih bisa membantu",2,Positif
sangat membantu,1,Netral
"Sangat membantu sekali, kalian wajib donload aplikasi ini...",2,Positif
"bisa ngelawak, bisa cerita, bisa mode hype",2,Positif
ini adalah aplikasi paling bagus sedunia dari pada cici,2,Positif
udah oke cumann jangan adaiin jangan pro dong soalnya buat belajar,1,Netral
malas komen,2,Positif
saya sangat tertarik dengan chat gpt,2,Positif
sangat keren tapi agak lama,2,Positif
hebatt jawab an semuanya benar,2,Positif
"ada beberapa bug, seperti chatnya tau2 ke reset sampai pesan tertentu,chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat/percakapan lain",0,Negatif
"sangat bagus untuk mengerjakan soal2 dan bisa membantu menjawab soal yang tidak bisa saya jawab, pokoknya mantul🫶🏻💘👍🏻👍🏻",2,Positif
mantap,2,Positif
bagus aplikasi nya bisa menanyakan segala hal.. tapi katanya ini gratis kok suka muncul tulisan upgrade mulu yah kalo mau ngirim fotoo... plis perbaiki lg yah gausah ada upgrade' nya gituhh.....,2,Positif
"mantap kadang agak ada slah ny juga, tapi udh mantap kok",2,Positif
oke lah,2,Positif
bikin akuvkelar bikin pr hebaat,2,Positif
top,2,Positif
aku sukaaa selalu membatu tugas akuu!!,2,Positif
👍,2,Positif
Keren,2,Positif
lumayan untuk pengalaman dalam pembelajaran,2,Positif
pintar saat mengedit baruk nya salah menjawab kuis,2,Positif
bagussss dan sangat membantu,1,Netral
sangat bagus,2,Positif
okee,2,Positif
the ai is soo nice im from Indonesian so thank goodness u for make this AI 😁😁😁,2,Positif
tidak bisa baca pdf,0,Negatif
gabisa di pake jink,2,Positif
Mayan dah buat membantu saya,1,Netral
mantap,2,Positif
membantu,1,Netral
best sih tapi kayak ada yg kurang gitu,2,Positif
aplikasi ini sangat berguna untuk saya bisa menyelesaikan pr saya,2,Positif
